benchmark,f,attack,param,baseline,target,target_acc,baseline_acc,delta,ci_low,ci_high,p,n_tasks,p_holm,verdict
arc,0.1,coherent,1.0,iwmv,race,0.9791666666666666,0.975,0.0041666666666666675,-0.008333333333333333,0.020833333333333336,0.5538887445996896,80,1.0,tie
arc,0.1,coherent,1.0,mace,race,0.9791666666666666,0.975,0.0041666666666666675,-0.008333333333333333,0.020833333333333336,0.5538887445996896,80,1.0,tie
arc,0.1,coherent,1.0,glad,race,0.9791666666666666,0.975,0.0041666666666666675,-0.008333333333333333,0.01666666666666667,0.5538887445996896,80,1.0,tie
arc,0.1,coherent,1.0,ds_onecoin,race,0.9791666666666666,0.9791666666666667,6.938893903907229e-19,-0.012499999999999997,0.0125,0.9929035095959442,80,1.0,tie
arc,0.1,coherent,1.0,ds_full,race,0.9791666666666666,0.975,0.0041666666666666675,-0.008333333333333333,0.020833333333333336,0.5538887445996896,80,1.0,tie
arc,0.1,coherent,1.0,majority,race,0.9791666666666666,0.9708333333333332,0.008333333333333335,-0.008333333333333333,0.029166666666666667,0.5538940370211425,80,1.0,tie
arc,0.1,coherent,1.0,self,race,0.9791666666666666,0.9310185185185185,0.04814814814814815,0.01898148148148148,0.07871527777777772,0.0015812305867759296,80,0.6451420794045792,tie
arc,0.1,coherent,1.0,aip_gated,race,0.9791666666666666,0.9708333333333332,0.008333333333333335,-0.008333333333333333,0.029166666666666674,0.5538940370211425,80,1.0,tie
arc,0.3,coherent,1.0,iwmv,race,0.9791666666666666,0.9833333333333332,-0.004166666666666667,-0.0125,0.0,0.31731050786291415,80,1.0,tie
arc,0.3,coherent,1.0,mace,race,0.9791666666666666,0.9916666666666668,-0.0125,-0.03333333333333334,0.0,0.15730741684009697,80,1.0,tie
arc,0.3,coherent,1.0,glad,race,0.9791666666666666,0.9791666666666666,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.3,coherent,1.0,ds_onecoin,race,0.9791666666666666,0.9916666666666668,-0.0125,-0.03333333333333333,0.0,0.15730741684009697,80,1.0,tie
arc,0.3,coherent,1.0,ds_full,race,0.9791666666666666,0.9791666666666667,6.938893903907229e-19,-0.0125,0.0125,0.9929035095959442,80,1.0,tie
arc,0.3,coherent,1.0,majority,race,0.9791666666666666,0.95,0.029166666666666667,0.008333333333333335,0.054166666666666675,0.014326135400321151,80,1.0,tie
arc,0.3,coherent,1.0,self,race,0.9791666666666666,0.9351190476190476,0.04404761904761905,0.018437500000000002,0.07202380952380953,0.0003185595387827561,80,0.14175899475832646,tie
arc,0.3,coherent,1.0,aip_gated,race,0.9791666666666666,0.9839285714285715,-0.004761904761904762,-0.013690476190476192,0.0,0.15730741684009697,80,1.0,tie
arc,0.3,gate_aware,0.25,iwmv,race,0.9875,0.9875,0.0,0.0,0.0,1.0,80,1.0,tie
arc,0.3,gate_aware,0.25,mace,race,0.9875,0.9916666666666668,-0.004166666666666667,-0.020833333333333332,0.008333333333333335,0.5686646725735651,80,1.0,tie
arc,0.3,gate_aware,0.25,glad,race,0.9875,0.9791666666666666,0.008333333333333335,0.0,0.020833333333333336,0.15730741684009697,80,1.0,tie
arc,0.3,gate_aware,0.25,ds_onecoin,race,0.9875,0.9958333333333333,-0.008333333333333335,-0.020833333333333336,0.0,0.15730741684009697,80,1.0,tie
arc,0.3,gate_aware,0.25,ds_full,race,0.9875,0.9833333333333332,0.0041666666666666675,0.0,0.0125,0.31731050786291415,80,1.0,tie
arc,0.3,gate_aware,0.25,majority,race,0.9875,0.95,0.0375,0.0125,0.07083333333333333,0.008168260470123903,80,1.0,tie
arc,0.3,gate_aware,0.25,self,race,0.9875,0.9351190476190476,0.052380952380952396,0.02797619047619048,0.08095238095238096,0.00022983931845714352,80,0.10319785398725743,tie
arc,0.3,gate_aware,0.25,aip_gated,race,0.9875,0.9488095238095238,0.03869047619047619,0.009523809523809525,0.07321428571428572,0.008170951534317935,80,1.0,tie
arc,0.3,llm:always_wrong,1.0,iwmv,race,0.975,0.9791666666666666,-0.0041666666666666675,-0.0125,0.0,0.31731050786291415,80,1.0,tie
arc,0.3,llm:always_wrong,1.0,mace,race,0.975,0.9875,-0.0125,-0.03333333333333333,0.0,0.15730741684009697,80,1.0,tie
arc,0.3,llm:always_wrong,1.0,glad,race,0.975,0.9791666666666666,-0.0041666666666666675,-0.0125,0.0,0.31731050786291415,80,1.0,tie
arc,0.3,llm:always_wrong,1.0,ds_onecoin,race,0.975,0.9833333333333332,-0.008333333333333335,-0.020833333333333336,0.0,0.15730741684009697,80,1.0,tie
arc,0.3,llm:always_wrong,1.0,ds_full,race,0.975,0.9791666666666666,-0.0041666666666666675,-0.0125,0.0,0.31731050786291415,80,1.0,tie
arc,0.3,llm:always_wrong,1.0,majority,race,0.975,0.9625,0.0125,0.0,0.03333333333333333,0.15730741684009697,80,1.0,tie
arc,0.3,llm:always_wrong,1.0,self,race,0.975,0.9351190476190476,0.039880952380952385,0.016071428571428577,0.06607142857142859,0.00032689481639289056,80,0.1451412984784434,tie
arc,0.3,llm:always_wrong,1.0,aip_gated,race,0.975,0.9833333333333334,-0.008333333333333335,-0.03333333333333334,0.016666666666666666,0.32355388963561915,80,1.0,tie
arc,0.3,llm:rushing,1.0,iwmv,race,0.9708333333333332,0.9791666666666666,-0.008333333333333335,-0.025,0.0,0.31731050786291415,80,1.0,tie
arc,0.3,llm:rushing,1.0,mace,race,0.9708333333333332,0.9916666666666668,-0.020833333333333332,-0.04583333333333334,0.0,0.08328098628159922,80,1.0,tie
arc,0.3,llm:rushing,1.0,glad,race,0.9708333333333332,0.9916666666666668,-0.020833333333333336,-0.05,0.0,0.08328098628159922,80,1.0,tie
arc,0.3,llm:rushing,1.0,ds_onecoin,race,0.9708333333333332,0.9833333333333332,-0.0125,-0.03333333333333334,0.0,0.15730741684009697,80,1.0,tie
